temperature,humidity,datetime
24.0,40.0,2022-10-22 18:08:38.166970
24.0,40.0,2022-10-22 18:08:38.692699
24.0,40.0,2022-10-22 18:08:39.218406
24.0,40.0,2022-10-22 18:08:39.744114
24.0,40.0,2022-10-22 18:08:40.269836
24.0,40.0,2022-10-22 18:08:40.795570
24.0,40.0,2022-10-22 18:08:41.321290
24.0,40.0,2022-10-22 18:08:41.847049
24.0,40.0,2022-10-22 18:08:42.372776
24.0,40.0,2022-10-22 18:08:42.898488
24.0,40.0,2022-10-22 18:08:43.424192
24.0,40.0,2022-10-22 18:08:43.949698
24.0,40.0,2022-10-22 18:08:44.475501
24.0,40.0,2022-10-22 18:08:45.001216
24.0,40.0,2022-10-22 18:08:45.526968
24.0,40.0,2022-10-22 18:08:46.052407
24.0,40.0,2022-10-22 18:08:46.577351
24.0,40.0,2022-10-22 18:08:47.102328
24.0,40.0,2022-10-22 18:08:47.628043
24.0,40.0,2022-10-22 18:08:48.153799
24.0,40.0,2022-10-22 18:08:48.679548
24.0,40.0,2022-10-22 18:08:49.205281
24.0,40.0,2022-10-22 18:08:49.730988
24.0,40.0,2022-10-22 18:08:50.256810
24.0,40.0,2022-10-22 18:08:50.782498
24.0,40.0,2022-10-22 18:08:51.307969
24.0,40.0,2022-10-22 18:08:51.833663
24.0,40.0,2022-10-22 18:08:52.359339
24.0,40.0,2022-10-22 18:08:52.885396
24.0,40.0,2022-10-22 18:08:53.411097
24.0,40.0,2022-10-22 18:08:53.936891
24.0,40.0,2022-10-22 18:08:54.462634
24.0,40.0,2022-10-22 18:08:54.988333
24.0,40.0,2022-10-22 18:08:55.513999
24.0,40.0,2022-10-22 18:08:56.039469
24.0,40.0,2022-10-22 18:08:56.565140
24.0,40.0,2022-10-22 18:08:57.090835
24.0,40.0,2022-10-22 18:08:57.616869
24.0,40.0,2022-10-22 18:08:58.142627
24.0,40.0,2022-10-22 18:08:58.668374
24.0,40.0,2022-10-22 18:08:59.194126
24.0,40.0,2022-10-22 18:08:59.719852
24.0,40.0,2022-10-22 18:09:00.245576
24.0,40.0,2022-10-22 18:09:00.771317
24.0,40.0,2022-10-22 18:09:01.297073
24.0,40.0,2022-10-22 18:09:01.822880
24.0,40.0,2022-10-22 18:09:02.348591
24.0,40.0,2022-10-22 18:09:02.874303
24.0,40.0,2022-10-22 18:09:03.399884
24.0,40.0,2022-10-22 18:09:03.925405
24.0,40.0,2022-10-22 18:09:04.451205
24.0,40.0,2022-10-22 18:09:04.976986
24.0,40.0,2022-10-22 18:09:05.502814
24.0,40.0,2022-10-22 18:09:06.028518
24.0,40.0,2022-10-22 18:09:06.554316
24.0,40.0,2022-10-22 18:09:07.080093
24.0,40.0,2022-10-22 18:09:07.606010
